Name,Address,Org Unit,Status,Power Type,Public,Warranty,Location Name
CLT AIRPORT / BUS. VALET 04,5601 Wilkinson Blvd,Charlotte Douglas International Airport,UNREACHABLE,AC_1_PHASE,Yes,,
CLT AIRPORT / BUS. VALET 05,5601 Wilkinson Blvd,Charlotte Douglas International Airport,UNREACHABLE,AC_1_PHASE,Yes,,
CLT AIRPORT / FBO WILSON AIR,5400 Charlotte Douglas International AirportAirport Dr,Charlotte Douglas International Airport,UNREACHABLE,AC_1_PHASE,Yes,,
CLT AIRPORT / LEVEL4_ST1,5501 R C Josh Birmingham Pkwy,Charlotte Douglas International Airport,AVAILABLE,AC_1_PHASE,Yes,,
CLT AIRPORT / LEVEL4_ST2,5501 R C Josh Birmingham Pkwy,Charlotte Douglas International Airport,OCCUPIED,AC_1_PHASE,Yes,,
CLT AIRPORT / LEVEL4_ST3,5501 R C Josh Birmingham Pkwy,Charlotte Douglas International Airport,AVAILABLE,AC_1_PHASE,Yes,,
CLT AIRPORT / LEVEL5_ST1,5501 R C Josh Birmingham Pkwy,Charlotte Douglas International Airport,AVAILABLE,AC_1_PHASE,Yes,,
CLT AIRPORT / LEVEL5_ST2,5501 R C Josh Birmingham Pkwy,Charlotte Douglas International Airport,OCCUPIED,AC_1_PHASE,Yes,,
CLT AIRPORT / LEVEL5_ST3,5501 R C Josh Birmingham Pkwy,Charlotte Douglas International Airport,OCCUPIED,AC_1_PHASE,Yes,,
CLT AIRPORT / LEVEL6_ST1,5501 R C Josh Birmingham Pkwy,Charlotte Douglas International Airport,OCCUPIED,AC_1_PHASE,Yes,,
CLT AIRPORT / LEVEL6_ST2,5501 R C Josh Birmingham Pkwy,Charlotte Douglas International Airport,OCCUPIED,AC_1_PHASE,Yes,,
CLT AIRPORT / LEVEL6_ST3,5501 R C Josh Birmingham Pkwy,Charlotte Douglas International Airport,OCCUPIED,AC_1_PHASE,Yes,,
CLT AIRPORT / WACNT,5312 Morris Field Dr,Charlotte Douglas International Airport,AVAILABLE,AC_1_PHASE,Yes,,
CLTW / AN 01,4100 W Tyvola Rd,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
CLTW / AN 02,4100 W Tyvola Rd,City of Charlotte,OCCUPIED,AC_1_PHASE,Yes,,
CLTW / AN 03,4100 W Tyvola Rd,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
CLTW / AN 04,4100 W Tyvola Rd,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
CLTW / AN 05,4100 W Tyvola Rd,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
CLTW / AN 06,4100 W Tyvola Rd,City of Charlotte,OCCUPIED,AC_1_PHASE,Yes,,
CLTW / AN 07,4100 W Tyvola Rd,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
CLTW / AN 08,4100 W Tyvola Rd,City of Charlotte,UNREACHABLE,AC_1_PHASE,Yes,,
CLTW / AS 01,4100 W Tyvola Rd,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
CLTW / AS 02,4100 W Tyvola Rd,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
CLTW / AS 03,4100 W Tyvola Rd,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
CLTW / AS 04,4100 W Tyvola Rd,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
CLTW / AS 05,4100 W Tyvola Rd,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
CLTW / AS 06,4100 W Tyvola Rd,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
CLTW / AS 07,4100 W Tyvola Rd,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
CLTW / CHARLOTTE H20-1,4222 Westmont Dr,City of Charlotte- Water,AVAILABLE,AC_1_PHASE,No,,
CLTW / CHLT WATER GC1,5730 General Commerce Dr,City of Charlotte- Water,OCCUPIED,AC_1_PHASE,No,,
CLTW / CHLT WATER GC2,5730 General Commerce Dr,City of Charlotte- Water,OCCUPIED,AC_1_PHASE,No,,
CLTW / CHLT WATER GC3,5730 General Commerce Dr,City of Charlotte- Water,OCCUPIED,AC_1_PHASE,No,,
CLTW / CLTW CHLT GC4,5730 General Commerce Dr,City of Charlotte- Water,AVAILABLE,AC_1_PHASE,No,,
CLTW / CLTW VEST EV 1,2041 Patton Ave,City of Charlotte- Water,OCCUPIED,AC_1_PHASE,No,,
CLTW / CLTW WATER AD,5100 NC-16,City of Charlotte- Water,AVAILABLE,AC_1_PHASE,No,,
CLTW / CLTW WATER AD3,5100 NC-16,City of Charlotte- Water,AVAILABLE,AC_1_PHASE,No,,
CLTW / CLW VEST EV 1.1,2041 Patton Ave,City of Charlotte- Water,OCCUPIED,AC_1_PHASE,No,,
CLTW / WATER ADMIN 2,5100 Brookshire Blvd,City of Charlotte- Water,AVAILABLE,AC_1_PHASE,No,,
